assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_exogenous_attributable,wait_fraction,wall_clock_s,yield_wait_steps
0,1244,0,0,0,priority,1244,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,422,0,100.0,astar,27628,1498,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",687.0,1240.256016026251,659.0075445973004,157.0385852090032,935.4856958783542,155.7524115755627,145.5,ours,lifelong,0,200,100,2015.4066642047835,1176.6679484164342,10,27778,8d8725e7b1a3df69e75688deb4b3000bc81d4e80c980c61486e78d0f043e4d0e,4506,1,2282.6666666666665,3424,7,123,0,1.0,0,ok,1500,193756,conflict_aware,0.9711163153786104,0.8293333333333334,1500,1281,18438,0,3424,0.06146,1005.7173,13932
0,1221,0,0,0,priority,1221,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,0,0,100.0,astar,14654,1489,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",661.0,1242.518525046762,682.8687167174261,128.32432432432432,544.2437028461912,127.71908271908272,118.0,no_buffer,lifelong,3604,200,100,1653.197487973375,1195.999528618995,10,14804,58a39081392668db3dfa992784eed79ba5fcd57b24ad5d9f96562275a0187bd3,2001,1,0.0,0,0,68,0,1.0,0,ok,1500,155945,conflict_aware,0.9659810126582279,0.814,1500,1264,24650,0,0,0.08216666666666667,1040.9107,22649
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,776,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10245.0391020393,731.847189946333,0.0,6442.327098162302,0.0,0.0,rhcr,lifelong,0,200,100,9298.905253739213,9657.814913991024,10,150,18129a28f45a0801c32a8b1f515fa06bcf522b84b0be8de4f32c0bd5985a71aa,0,1,4554.0,6831,3,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1294,0,0,6831,0.0,1112.8705,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,920,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10230.679740954656,748.7799191610344,0.0,6608.3598649133155,0.0,0.0,rhcr,lifelong,0,200,100,9287.738777592313,9906.67814813787,10,150,5822748ee301dd2178d253b3e0fc62fb835248868460bde4cfeec88f2a8df326,0,1,4654.666666666666,6982,8,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1211,0,0,6982,0.0,1138.7785,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,959,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10256.330422998872,766.2676634606905,0.0,6838.85145710432,0.0,0.0,rhcr,lifelong,0,200,100,9307.960741641,10147.888744203374,10,150,bd87ceb76436538aec4944915490c3198c4dd975bb4e66e1c0882af7ee133ad6,0,1,5067.333333333333,7601,1,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1273,0,0,7601,0.0,1165.5432,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,775,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10271.178099967074,766.6470725631807,0.0,6773.276193258741,0.0,0.0,rhcr,lifelong,0,200,100,9270.645746163791,10137.585481122367,10,150,001f0353c0168f47825e3ff448393d9c2f503bb905d6122c58bd4d55a91a80e2,0,1,4499.333333333333,6749,7,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1281,0,0,6749,0.0,1166.7956,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,987,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10256.40247296542,773.235405324609,0.0,6830.124876320285,0.0,0.0,rhcr,lifelong,0,200,100,9284.140797247528,9987.450894212814,10,150,d60b4930f13c5e1bf19f002d89c49e8f8dcb0ab9b120d0547e49b20d1d2540b5,0,1,5071.333333333333,7607,6,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1270,0,0,7607,0.0,1175.7063,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,861,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10237.090942973737,781.595115577414,0.0,6930.0356658101855,0.0,0.0,rhcr,lifelong,0,200,100,9286.081313918112,10182.709324243478,10,150,82b19b8f5b7376dbec9d44c4b6ffbba2e454644f43752127ec0adde0b980ae6a,0,1,5229.333333333333,7844,2,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1257,0,0,7844,0.0,1188.1554,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,824,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10262.836195004638,784.2217042415868,0.0,6955.726976749332,0.0,0.0,rhcr,lifelong,0,200,100,9285.50002091797,9977.369205732248,10,150,7b38c0ba33c46fb04ed55f8aa850b4a2a599605097d9213c8c9f1be6cf289034,0,1,4514.0,6771,0,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1264,0,0,6771,0.0,1192.3038,0
0,0,0,0,0,priority,0,0,,budget_sensitivity,4,150,lacam_official,True,20,random_walk,894,0,100.0,astar,0,0,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",0.0,10256.38334598625,791.8422447658377,0.0,7044.8599000527365,0.0,0.0,rhcr,lifelong,0,200,100,9335.71209081274,10091.948207645328,10,150,181215c982dd8cee0052d06a923bab6efb80b3ab6fd26b60924602225c4866ba,0,1,5072.666666666667,7609,5,150,0,1.0,0,ok,1500,0,conflict_aware,0.0,0.0,1500,1265,0,0,7609,0.0,1203.3475,0
