applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
3,lacam_official,True,40,20,2,congestion_avoidance,0,778,0,0,0,priority,778,24,0,,fov_safety_sweep,3,114,lacam_official,True,40,random_walk,302,0,57.0,astar,6316,True,1977,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",456.0,14132.795340032317,219.5920277487603,142.913881748072,1052.9881687007698,141.60411311053986,133.5,ours,lifelong,0,100,50,569.7869285475463,12741.800524736753,20,6430,b649f65e6473e55ef8fecf6a2169235ddc7c19d60e20c88b0397428f47c0e2d4,646,2,1870.5,3741,6,9,0,10.0,0,ok,2000,110168,congestion_avoidance,0.9798488664987406,0.389,2000,794,15528,0,2000,3741,2000,0.07764,448.8415,14882
3,lacam_official,True,40,20,1,congestion_avoidance,0,783,0,0,0,priority,783,25,0,,fov_safety_sweep,3,103,lacam_official,True,40,random_walk,134,0,51.5,astar,5416,True,1987,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",593.0,13781.028677010909,344.2986036990187,142.11494252873564,3817.9601990183796,140.41379310344828,130.0,ours,lifelong,0,100,50,548.2863446581177,13267.784020665566,20,5519,eb741f36c7b0307ef7eabc610675b82c3befcd9e62bb7726a2f3b47c8a0ea431,538,1,584.0,1168,8,31,0,10.0,0,ok,2000,109944,congestion_avoidance,0.9898862199747156,0.3915,2000,791,14193,0,2000,1168,2000,0.070965,697.4995,13655
3,lacam_official,True,40,20,1,congestion_avoidance,0,827,0,0,0,priority,827,20,0,,fov_safety_sweep,3,106,lacam_official,True,40,random_walk,132,0,53.0,astar,5636,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",615.0,15124.415325000882,347.9851365184877,138.2769044740024,3468.231688934501,137.52962515114874,129.0,ours,lifelong,0,100,50,562.6303255790845,13038.442026270786,20,5742,717f0839ca9f2919f8f58b867a9271a8f8a3320cc9087eb9d0f4807b347dd62d,651,1,592.5,1185,7,28,0,10.0,1,ok,2000,113737,congestion_avoidance,0.9892344497607656,0.4135,2000,836,13567,0,2000,1185,2000,0.067835,705.539,12916
3,lacam_official,True,40,20,2,congestion_avoidance,0,797,0,0,0,priority,797,24,0,,fov_safety_sweep,3,118,lacam_official,True,40,random_walk,326,0,59.0,astar,6926,True,1986,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",564.0,13703.218383016065,240.56057885219343,153.8168130489335,1697.7851875136228,151.3249686323714,142.0,ours,lifelong,0,100,50,511.6101285093462,12249.909928441046,20,7044,e0ca1c2bfa2f3441453a069dde4d71a98955321e1dbed59ae455ec3d31382daf,423,2,1841.5,3683,5,16,0,10.0,0,ok,2000,120606,congestion_avoidance,0.9851668726823238,0.3985,2000,809,15679,0,2000,3683,2000,0.078395,490.3791,15256
3,lacam_official,True,40,20,2,congestion_avoidance,0,794,0,0,0,priority,794,17,0,,fov_safety_sweep,3,117,lacam_official,True,40,random_walk,284,0,58.5,astar,7662,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",647.0,13686.134223011322,338.1759071323904,150.0264483627204,3245.6376230668548,148.97607052896726,141.0,ours,lifelong,0,100,50,522.3548308364116,13017.349076247772,20,7779,6182067b51c26848e5583c21c28f9b8d08d6837d6a54e13be04cb73cc4f1923c,610,2,1609.0,3218,0,30,0,10.0,0,ok,2000,118287,congestion_avoidance,0.986335403726708,0.397,2000,805,13516,0,2000,3218,2000,0.06758,685.537,12906
3,lacam_official,True,40,20,2,congestion_avoidance,0,820,0,0,0,priority,820,24,0,,fov_safety_sweep,3,112,lacam_official,True,40,random_walk,305,0,56.0,astar,6890,True,1976,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",461.0,13345.124913961627,267.5732674728497,145.5609756097561,2248.2909029619937,144.5,134.5,ours,lifelong,0,100,50,484.8826984583866,12582.942878361791,20,7002,1ebb5bd7c8c13d734ccfd374b3d6d02a25c935cdd65a331f9ef743bee5302998,554,2,1991.5,3983,4,20,0,10.0,0,ok,2000,118490,congestion_avoidance,0.9785202863961814,0.41,2000,838,14879,0,2000,3983,2000,0.074395,543.9466,14325
4,lacam_official,True,40,20,1,congestion_avoidance,0,769,0,0,0,priority,769,34,0,,fov_safety_sweep,4,112,lacam_official,True,40,random_walk,133,0,56.0,astar,4518,True,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",638.0,14608.414349029772,217.02436464931816,145.0481144343303,1197.5321440799494,144.42912873862159,127.0,ours,lifelong,0,100,50,555.9291013632901,12931.585331383394,20,4630,3761f77804cfb3afae308c2f810002e64d8df30836439aa2fb3183a36d7907a5,319,1,541.5,1083,1,10,0,10.0,0,ok,2000,111066,congestion_avoidance,0.9808673469387755,0.3845,2000,784,17453,0,2000,1083,2000,0.087265,443.5766,17134
3,lacam_official,True,40,20,2,congestion_avoidance,0,777,0,0,0,priority,777,30,0,,fov_safety_sweep,3,106,lacam_official,True,40,random_walk,308,0,53.0,astar,7044,True,1979,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",600.0,14470.40572494734,366.23873373906827,143.95752895752895,3625.816986254715,142.37966537966537,129.0,ours,lifelong,0,100,50,592.9729179828427,13284.489533049054,20,7150,b59467d6c295571aa71732cbe2c21b6e33b0d9336a95655b7571e87f89af605e,1257,2,1923.0,3846,3,30,0,10.0,0,ok,2000,110629,congestion_avoidance,0.9773584905660377,0.3885,2000,795,14794,0,2000,3846,2000,0.07397,742.2599,13537
4,lacam_official,True,40,20,1,congestion_avoidance,0,792,0,0,0,priority,792,33,0,,fov_safety_sweep,4,108,lacam_official,True,40,random_walk,151,0,54.0,astar,5169,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",863.0,14167.517871013843,265.08039208641276,144.8169191919192,2346.2564716982242,144.2929292929293,133.0,ours,lifelong,0,100,50,489.54118972760614,12826.899635395966,20,5277,3f7e42e7caf864dfaccb9a2690e52f3feabfcf67a148804091f2f00140613188,559,1,575.0,1150,0,20,0,10.0,0,ok,2000,114280,congestion_avoidance,0.9838509316770186,0.396,2000,805,17421,0,2000,1150,2000,0.087105,538.7955,16862
4,lacam_official,True,40,20,1,congestion_avoidance,0,780,0,0,0,priority,780,37,0,,fov_safety_sweep,4,112,lacam_official,True,40,random_walk,155,0,56.0,astar,4362,True,1989,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",614.0,13142.218529013917,192.58928627421847,142.9525641025641,927.5516750692207,142.1076923076923,131.5,ours,lifelong,0,100,50,528.3941185742151,12267.751337063963,20,4474,b0cdc30beb4ca7e759aebeeff247c5d531c28f4c7c33ba7df07734814713e80d,407,1,589.5,1179,2,8,0,10.0,0,ok,2000,110844,congestion_avoidance,0.967741935483871,0.39,2000,806,20373,0,2000,1179,2000,0.101865,394.1264,19966
