applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,auction_epsilon,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,lambda_conflict,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,max_rounds,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,40,20,2,auction,0,783,0.01,0,0,0,priority,783,9,0,,allocator_comparison_fov4_safe2,4,183,lacam_official,True,40,random_walk,137,0,91.5,,astar,11167,True,1991,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",638.0,12043.932243948802,,307.635166085558,215.57598978288632,1849.93757588453,211.80332056194126,205.0,ours,lifelong,0,100,60,236.39172517578115,11872.384417860303,20,11350,8c2321e8325052764918a96febb23c3bb8aab973e6e302db0190a51948ec5bbb,1315,2,866.0,1732,5,28,0,10.0,0,ok,2000,165842,auction,0.9738805970149254,0.3915,2000,804,13267,0,2000,1732,2000,0.066335,630.8796,11952
4,lacam_official,True,40,20,2,auction,0,792,0.01,0,0,0,priority,792,4,0,,allocator_comparison_fov4_safe2,4,153,lacam_official,True,40,random_walk,196,0,76.5,,astar,11031,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",611.0,12047.632107976824,,384.9626634902088,206.33964646464648,3286.488296131579,203.5921717171717,193.0,ours,lifelong,0,100,60,225.60076239169572,11927.85583876539,20,11184,0613fdf1367d471a3b7604a3426efd20b3045ec34fba7f8bffaf31720b640cd6,1220,2,1122.0,2244,2,42,0,10.0,0,ok,2000,161245,auction,0.972972972972973,0.396,2000,814,14105,0,2000,2244,2000,0.070525,785.442,12885
4,lacam_official,True,40,20,2,auction,0,769,0.01,0,0,0,priority,769,9,0,,allocator_comparison_fov4_safe2,4,148,lacam_official,True,40,random_walk,214,0,74.0,,astar,11158,True,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",667.0,12277.534835971892,,371.694836662733,208.6033810143043,3233.1002939191985,207.5214564369311,197.0,ours,lifelong,0,100,60,224.86220698338,11936.428966611857,20,11306,50c4df96053c283d433d5a39d03270dc2070c20e4595e50e6010599d6fb3af96,1199,2,1182.0,2364,3,40,0,10.0,0,ok,2000,159584,auction,0.9721871049304678,0.3845,2000,791,14806,0,2000,2364,2000,0.07403,758.8914,13607
4,lacam_official,True,40,20,2,auction,0,790,0.01,0,0,0,priority,790,3,0,,allocator_comparison_fov4_safe2,4,161,lacam_official,True,40,random_walk,189,0,80.5,,astar,12603,True,1989,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",569.0,12411.765711964108,,417.265429109626,211.81772151898736,3396.3088254973595,208.9987341772152,204.0,ours,lifelong,0,100,60,237.47557391179726,11944.345002993941,20,12764,10896d28e15950ccccbb51d2753b18ef165a0225544a272c7e5cd78266ae5918,1442,2,1010.9999999999999,2022,7,46,0,10.0,0,ok,2000,165109,auction,0.9681372549019608,0.395,2000,816,13444,0,2000,2022,2000,0.06722,850.1097,12002
4,lacam_official,True,40,20,2,auction,0,757,0.01,0,0,0,priority,757,6,0,,allocator_comparison_fov4_safe2,4,154,lacam_official,True,40,random_walk,140,0,77.0,,astar,12275,True,1984,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",796.0,12068.074514041655,,419.7106553618796,209.71598414795244,3631.5942033936344,208.65653896961692,204.0,ours,lifelong,0,100,60,241.48535070708022,11896.365477587096,20,12429,4c2f0cfd8edc6bcdc6fa8b12e2765f43209ee1b66a999602adb75df98d02cee3,1272,2,828.5,1657,9,47,0,10.0,0,ok,2000,157953,auction,0.9546027742749055,0.3785,2000,793,14731,0,2000,1657,2000,0.073655,854.9747,13459
4,lacam_official,True,40,20,2,auction,0,772,0.01,0,0,0,priority,772,4,0,,allocator_comparison_fov4_safe2,4,149,lacam_official,True,40,random_walk,150,0,74.5,,astar,13004,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",592.0,11981.136059970595,,463.84289594495203,213.2098445595855,4207.891676483532,211.33549222797927,203.5,ours,lifelong,0,100,60,249.38454137300135,11850.372000830248,20,13153,3859bf04e5e392930dfaafbfb1a73a77d251fdf4e658333829f21e070a109cc1,1556,2,920.5,1841,8,53,0,10.0,0,ok,2000,163151,auction,0.965,0.386,2000,800,13105,0,2000,1841,2000,0.065525,943.2121,11549
4,lacam_official,True,40,20,2,auction,0,1158,0.01,0,0,0,priority,1158,10,0,,allocator_comparison_fov4_safe2,4,154,lacam_official,True,40,random_walk,213,0,77.0,,astar,20222,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",747.0,11380.453016026877,,555.2988184440183,213.32469775474956,4011.7982733252384,211.9447322970639,202.0,ours,lifelong,0,150,60,372.41401245701127,11303.704323072452,20,20376,0f4078c7e81edbdea98883c327c2605ecd71d861c350f289fe5c3bcade2f5f82,2928,2,1533.0,3066,1,55,0,10.0,0,ok,2000,245432,auction,0.9578163771712159,0.579,2000,1209,31905,0,2000,3066,2000,0.10635,1134.1198,28977
4,lacam_official,True,40,20,2,auction,0,1171,0.01,0,0,0,priority,1171,13,0,,allocator_comparison_fov4_safe2,4,145,lacam_official,True,40,random_walk,225,0,72.5,,astar,20813,True,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",702.0,11395.61661798507,,582.9933651411557,216.9863364645602,4779.737165987748,213.86336464560205,205.0,ours,lifelong,0,150,60,370.94225864857435,11278.134237020276,20,20958,626198790f8b7f5512b920354678d764b4aac75eb6a54e819312b6861d1f7b7f,2529,2,1427.0,2854,0,62,0,10.0,0,ok,2000,250434,auction,0.9614121510673235,0.5855,2000,1218,32896,0,2000,2854,2000,0.10965333333333334,1189.3482,30367
4,lacam_official,True,40,20,2,auction,0,1181,0.01,0,0,0,priority,1181,9,0,,allocator_comparison_fov4_safe2,4,148,lacam_official,True,40,random_walk,220,0,74.0,,astar,18502,True,1997,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",743.0,11485.495122964494,,535.9565754036303,208.81033022861982,4178.256834945264,207.33954276037255,198.0,ours,lifelong,0,150,60,357.1721446001902,11331.194824085105,20,18650,639edc1f5a58f41c39743b37540c4ddc5f1b7064b2e7a457fde1ca51b47965af,2069,2,1516.5,3033,6,55,0,10.0,0,ok,2000,244868,auction,0.9664484451718495,0.5905,2000,1222,29950,0,2000,3033,2000,0.09983333333333333,1095.3101,27881
4,lacam_official,True,40,20,2,auction,0,1163,0.01,0,0,0,priority,1163,6,0,,allocator_comparison_fov4_safe2,4,114,lacam_official,True,40,random_walk,244,0,57.0,,astar,22830,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",793.0,11302.017573965713,,695.0160877484595,220.3645743766122,7928.975046505097,217.3078245915735,202.0,ours,lifelong,0,150,60,375.47343282494694,11098.714639100945,20,22944,92938fc230d3738181bdbde342743d71db4f901a44b162a24e1933f294073735,2450,2,1640.0,3280,2,82,0,10.0,0,ok,2000,252729,auction,0.9524979524979525,0.5815,2000,1221,42630,0,2000,3280,2000,0.1421,1413.4576,40180
4,lacam_official,True,40,20,2,auction,0,1220,0.01,0,0,0,priority,1220,0,0,,allocator_comparison_fov4_safe2,4,138,lacam_official,True,40,random_walk,180,0,69.0,,astar,21716,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",734.0,11928.193146013655,,598.6784295235411,222.13688524590165,5289.747839584353,218.0737704918033,212.0,ours,lifelong,0,150,60,346.7807511216961,11038.853743241634,20,21854,4ddcf36f11e32574b296d7cd670c5377276581859f864a8eac0da8d21f746b77,1907,2,1157.0,2314,4,66,0,10.0,0,ok,2000,266050,auction,0.9621451104100947,0.61,2000,1268,34325,0,2000,2314,2000,0.11441666666666667,1220.9137,32418
4,lacam_official,True,40,20,2,auction,0,1157,0.01,0,0,0,priority,1157,5,0,,allocator_comparison_fov4_safe2,4,141,lacam_official,True,40,random_walk,277,0,70.5,,astar,20644,True,1983,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",835.0,11747.20731691923,,564.4959303447977,220.0,4764.6034626820265,215.58599827139153,212.0,ours,lifelong,0,150,60,360.35700635402463,11270.439796964638,20,20785,8149221674cc4aeabbd72fec7d344e8e66ec0a13cb2937ccbe4173bec0acb4bd,2282,2,1567.5,3135,9,60,0,10.0,0,ok,2000,249433,auction,0.967391304347826,0.5785,2000,1196,31261,0,2000,3135,2000,0.10420333333333333,1152.4049,28979
4,lacam_official,True,40,20,2,auction,0,1192,0.01,0,0,0,priority,1192,0,0,,allocator_comparison_fov4_safe2,4,130,lacam_official,True,40,random_walk,215,0,65.0,,astar,23716,True,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",798.0,12013.405859936029,,686.4747676694533,223.1275167785235,6744.029962809649,218.51090604026845,207.0,ours,lifelong,0,150,60,374.9097470426931,11294.8996210529,20,23846,f453279cfd682c4f71fd28cb2eac92881afb9963ea20693ce058dfe6e8bd11d5,2688,2,1515.5,3031,3,79,0,10.0,0,ok,2000,260465,auction,0.9683184402924452,0.596,2000,1231,34980,0,2000,3031,2000,0.1166,1396.4008,32292
4,lacam_official,True,40,20,2,auction,0,1170,0.01,0,0,0,priority,1170,1,0,,allocator_comparison_fov4_safe2,4,127,lacam_official,True,40,random_walk,268,0,63.5,,astar,24316,True,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",643.0,12281.418735976331,,712.4230105184834,224.86923076923077,7339.160231030986,221.9119658119658,216.0,ours,lifelong,0,150,60,379.7539487306493,11348.458426748402,20,24443,8536fc94d35494391773447cd6e940574389488361cd288f84bbefdff7d7d563,2620,2,1587.5,3175,5,84,0,10.0,0,ok,2000,259637,auction,0.964550700741962,0.585,2000,1213,33858,0,2000,3175,2000,0.11286,1448.3294,31238
