Deleting pre-activation logs/calibration/raw_measurements.csv (archive at  _archived_greedy_v1_4_pre_direction_a/)
=== Calibration cohort: calibration_v1 ===
Started:        2026-05-13T10:24:29Z
Hostname:       iisl
Git commit:     c56f0fcd0ec7968d24253db17336970952445023
Active alloc:   conflict_aware
Workers:        32
CSV:            logs/calibration/raw_measurements.csv
Expected rows:  2160 (excluding header)
===
2026-05-13 13:24:29,665 INFO calibrate calibration grid: 720 cells × 3 replans/cell = 2160 invocations (time_limit=10.0s each)
2026-05-13 13:24:29,668 INFO calibrate running with 32 workers
2026-05-13 13:44:10,060 INFO calibrate progress: 475/720 cells (66.0%, elapsed 1180.4s)
2026-05-13 13:44:14,211 INFO calibrate progress: 480/720 cells (66.7%, elapsed 1184.5s)
2026-05-13 13:44:33,090 INFO calibrate progress: 485/720 cells (67.4%, elapsed 1203.4s)
2026-05-13 13:44:47,082 INFO calibrate progress: 490/720 cells (68.1%, elapsed 1217.4s)
2026-05-13 13:44:52,522 INFO calibrate progress: 495/720 cells (68.8%, elapsed 1222.9s)
2026-05-13 13:44:56,665 INFO calibrate progress: 500/720 cells (69.4%, elapsed 1227.0s)
2026-05-13 13:45:06,304 INFO calibrate progress: 505/720 cells (70.1%, elapsed 1236.6s)
2026-05-13 13:45:15,932 INFO calibrate progress: 510/720 cells (70.8%, elapsed 1246.3s)
2026-05-13 13:45:20,782 INFO calibrate progress: 515/720 cells (71.5%, elapsed 1251.1s)
2026-05-13 13:45:37,308 INFO calibrate progress: 520/720 cells (72.2%, elapsed 1267.6s)
2026-05-13 13:46:17,795 INFO calibrate progress: 525/720 cells (72.9%, elapsed 1308.1s)
2026-05-13 13:46:40,635 INFO calibrate progress: 530/720 cells (73.6%, elapsed 1331.0s)
2026-05-13 13:46:51,709 INFO calibrate progress: 535/720 cells (74.3%, elapsed 1342.0s)
2026-05-13 13:46:56,160 INFO calibrate progress: 540/720 cells (75.0%, elapsed 1346.5s)
2026-05-13 13:47:00,572 INFO calibrate progress: 545/720 cells (75.7%, elapsed 1350.9s)
2026-05-13 13:47:51,942 INFO calibrate progress: 550/720 cells (76.4%, elapsed 1402.3s)
2026-05-13 13:48:10,837 INFO calibrate progress: 555/720 cells (77.1%, elapsed 1421.2s)
2026-05-13 13:48:19,663 INFO calibrate progress: 560/720 cells (77.8%, elapsed 1430.0s)
2026-05-13 13:48:44,735 INFO calibrate progress: 565/720 cells (78.5%, elapsed 1455.1s)
2026-05-13 13:49:04,188 INFO calibrate progress: 570/720 cells (79.2%, elapsed 1474.5s)
2026-05-13 13:49:07,545 INFO calibrate progress: 575/720 cells (79.9%, elapsed 1477.9s)
2026-05-13 13:49:11,469 INFO calibrate progress: 580/720 cells (80.6%, elapsed 1481.8s)
2026-05-13 13:49:16,830 INFO calibrate progress: 585/720 cells (81.2%, elapsed 1487.2s)
2026-05-13 13:49:20,099 INFO calibrate progress: 590/720 cells (81.9%, elapsed 1490.4s)
2026-05-13 13:49:23,777 INFO calibrate progress: 595/720 cells (82.6%, elapsed 1494.1s)
2026-05-13 13:49:35,970 INFO calibrate progress: 600/720 cells (83.3%, elapsed 1506.3s)
2026-05-13 13:50:08,089 INFO calibrate progress: 605/720 cells (84.0%, elapsed 1538.4s)
2026-05-13 13:50:24,966 INFO calibrate progress: 610/720 cells (84.7%, elapsed 1555.3s)
2026-05-13 13:50:29,016 INFO calibrate progress: 615/720 cells (85.4%, elapsed 1559.4s)
2026-05-13 13:50:31,484 INFO calibrate progress: 620/720 cells (86.1%, elapsed 1561.8s)
2026-05-13 13:50:37,065 INFO calibrate progress: 625/720 cells (86.8%, elapsed 1567.4s)
