applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_planning_time_ms,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1192,0,0,0,priority,1192,89,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1680,0,1000.0,astar,0,True,1964,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1150.0,130.89254300575703,213.01907068362925,130.95721476510067,29.702648438862525,130.36828859060404,104.5,pibt2_fr,lifelong,7240,150,100,517.9679573280737,54.58922987454571,10,2000,c0e4c9a223a92539bf662c63a82ec122c84d866b95d162444a7c0e21637adc10,0,1,7096.0,14192,2,0,410,10.0,0,ok,2000,155399,congestion_avoidance,0.9794576828266228,0.596,2000,1217,0,7430,2000,6762,2000,0.0,436.9002,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1219,0,0,0,priority,1219,79,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1490,0,1000.0,astar,0,True,1937,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",902.0,150.10217705275863,215.06541246402776,128.09926168990975,30.700283646932803,127.9442165709598,105.0,pibt2_fr,lifelong,7368,150,100,525.0845413538627,51.78310621995479,10,2000,739ee4b0691e6be920a0da217ea3a901780d3ef80e57e2e6764cf39474c1248e,0,1,7074.5,14149,3,0,608,10.0,0,ok,2000,155964,congestion_avoidance,0.9846526655896608,0.6095,2000,1238,0,7647,2000,6502,2000,0.0,440.8322,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1244,0,0,0,priority,1244,85,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1437,0,1000.0,astar,0,True,1968,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",781.0,149.84979608561844,217.93796175636817,129.4967845659164,34.72217893716879,128.9509646302251,113.0,pibt2_fr,lifelong,7806,150,100,492.780977662187,59.43354178452864,10,2000,2302dca3f3a764316002caa59064359f90d702cec3ac06edda1bf8da3ca46883,0,1,7171.5,14343,4,0,961,10.0,0,ok,2000,160415,congestion_avoidance,0.9772191673212884,0.622,2000,1273,0,8033,2000,6310,2000,0.0,446.914,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1173,0,0,0,priority,1173,88,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1180,0,1000.0,astar,0,True,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",774.0,137.6479440368712,220.70020109036705,122.1926683716965,29.64772602613084,121.74083546462064,100.0,pibt2_fr,lifelong,6972,150,100,546.3732962321956,53.1230699387379,10,2000,7fab145573feb9ffdaace040fc91641d515b5482a628146ec391aaabceb8c3e1,0,1,6517.0,13034,1,0,485,10.0,0,ok,2000,142802,congestion_avoidance,0.9678217821782178,0.5865,2000,1212,0,7236,2000,5798,2000,0.0,452.6694,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1187,0,0,0,priority,1187,76,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1194,0,1000.0,astar,0,True,1947,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",858.0,149.36573593877256,224.8272295864299,123.71693344566133,32.83196994481841,123.00926705981466,108.0,pibt2_fr,lifelong,6859,150,100,556.0576883435715,52.59903808473609,10,2000,2125b2e13b9aa8b26a5dafd6050fb9113ee704e33208c344d8c64e8fe358722b,0,1,6319.5,12639,0,0,1008,10.0,0,ok,2000,146012,congestion_avoidance,0.9753492193919474,0.5935,2000,1217,0,7049,2000,5590,2000,0.0,460.8948,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1157,0,0,0,priority,1157,94,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1158,0,1000.0,astar,0,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1395.0,121.170962927863,183.9133766295272,139.43560933448575,29.84215911716456,138.96542783059638,110.0,pibt2_fr,lifelong,7153,150,100,431.156892713625,52.701314416481175,10,2000,3e75c3aba7a2e0973b881501cbee9fb3f303f27510d74a3936139115b8fbc233,0,1,6274.0,12548,9,0,749,10.0,0,ok,2000,160783,congestion_avoidance,0.9690117252931324,0.5785,2000,1194,0,7386,2000,5162,2000,0.0,377.556,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1194,0,0,0,priority,1194,80,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1170,0,1000.0,astar,0,True,1923,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",807.0,110.30317598488182,205.90395761939,123.34924623115576,24.70080367050832,122.7286432160804,105.0,pibt2_fr,lifelong,6697,150,100,492.7665758819785,44.07754521234891,10,2000,1fc679f3a50d09dcc9a94347a1ed0ad6302b4d47a7c0f9e5116bf1035b907b2d,0,1,6191.5,12383,6,0,400,10.0,0,ok,2000,146538,congestion_avoidance,0.9794913863822804,0.597,2000,1219,0,6894,2000,5489,2000,0.0,421.597,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1190,0,0,0,priority,1190,89,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1313,0,1000.0,astar,0,True,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",922.0,135.9518449753523,201.52573823195416,127.28319327731091,28.872789247368928,126.96050420168068,107.5,pibt2_fr,lifelong,7529,150,100,481.9094393285922,49.31864951504393,10,2000,ea1289c70c52522703dce63e3bb7e541fead0701fbdd609b6be2f50e8588be45,0,1,6726.5,13453,7,0,926,10.0,0,ok,2000,151083,congestion_avoidance,0.967479674796748,0.595,2000,1230,0,7747,2000,5706,2000,0.0,412.7849,0
4.0,pibt2,True,20.0,1.0,1.0,congestion_avoidance,0,1113,0,0,0,priority,1113,75,0,,temporal_progression,4,2000,lacam_official,True,20,random_walk,1270,0,1000.0,astar,0,True,1979,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",1235.0,109.19857304543255,206.0364140275633,124.69901168014376,25.403781520493794,124.35669362084457,107.0,pibt2_fr,lifelong,6569,150,100,532.2521949070506,48.57166233705356,10,2000,114b2e9f4d50125631cde3008ed0102f00b7a2d5127bdadfd467a4c1da9828f0,0,1,6347.5,12695,8,0,700,10.0,0,ok,2000,138409,congestion_avoidance,0.970357454228422,0.5565,2000,1147,0,6796,2000,5899,2000,0.0,421.7578,0
4,lacam_official,True,20,10,1,congestion_avoidance,0,119,0,0,0,priority,119,150,0,,temporal_progression,4,200,lacam_official,True,20,random_walk,1048,0,100.0,astar,0,True,189,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",189.0,11493.867640965618,1032.5009816751117,102.7983193277311,9947.63382228557,99.31932773109244,98.0,lacam_blind,lifelong,801,150,100,10984.860860870685,11198.68803609861,10,200,a1479e4e70abd03574c8cd7c9656f63a1b09f1826931aea8fc44a4b75a5b1e8e,0,1,4280.5,8561,1,181,0,10.0,0,ok,2000,11819,congestion_avoidance,0.09818481848184818,0.0595,2000,1212,0,829,2000,7732,2000,0.0,2077.1696,0
