applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,communication_mode,completed_tasks,deadlock_count,delay_events,error_msg,experiment,fov_radius,global_no_progress_steps,global_replans,global_solver,hard_safety,horizon,human_model,human_passive_wait_steps,immediate_assignments,intervention_rate,local_planner,local_replans,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,replan_every,replans,run_id,safe_wait_steps,safety_radius,safety_violation_rate,safety_violations,seed,solver_errors,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,total_released_tasks,total_wait_steps,violations_agent_attributable,violations_agent_timeline_len,violations_exogenous_attributable,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
4,lacam_official,True,20,10,1,congestion_avoidance,0,730,0,0,0,priority,730,9,0,,baseline_comparison,4,86,204,lacam_official,True,20,random_walk,65,0,102.0,astar,3845,1951,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",545.0,48,15190.520872129127,0.010375494071146246,201.93379762093537,64.44931506849315,1663.7306768166395,63.893150684931506,58.0,ours,lifelong,96,0,50,20,124.31102396221831,14907.366042921785,10,4049,6f4435a336af487c3dbef1409ee09819ea71280dc0fdd1b6414fc785c4f71f36,391,1,475.0,950,1,13,0,10.0,10,ok,2000,21.0,46642,congestion_avoidance,0.9986320109439124,0.365,2000,731,4420,0,0,950,0,0.0442,404.3286,4029
4,lacam_official,True,20,10,1,congestion_avoidance,0,738,0,0,0,priority,738,6,0,,baseline_comparison,4,25,202,lacam_official,True,20,random_walk,57,0,101.0,astar,3518,1923,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",277.0,25,15161.818359978497,0.015888778550148957,146.3826616865117,64.7479674796748,1142.010907198782,64.51761517615176,59.0,ours,lifelong,100,0,50,20,116.82663563406092,13867.04947260441,10,3720,728dcb8345912cc715c7a3b79e6e6ae292c8fc9331730e336dffbd2a1429c0c6,332,1,368.0,736,8,11,0,10.0,5,ok,2000,32.0,47614,congestion_avoidance,1.0,0.369,2000,738,4746,0,0,736,0,0.04746,293.2357,4414
4,lacam_official,True,20,10,1,congestion_avoidance,0,789,0,0,0,priority,789,4,0,,baseline_comparison,4,68,204,lacam_official,True,20,random_walk,68,0,102.0,astar,4178,1954,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",261.0,45,15174.970065942034,0.011910669975186104,206.08826276252512,66.14195183776933,1694.3255529166017,65.84790874524715,61.0,ours,lifelong,107,0,50,20,116.36877730488777,15128.21677486645,10,4382,39ba5bb2a8405a6f116335e17b3d2c0cd941c839521fa599164c2781b54f7a4b,355,1,372.5,745,4,7,0,10.0,16,ok,2000,24.0,51954,congestion_avoidance,0.9974715549936789,0.3945,2000,791,4216,0,0,745,0,0.04216,412.659,3861
4,lacam_official,True,20,10,1,congestion_avoidance,0,741,0,0,0,priority,741,9,0,,baseline_comparison,4,93,203,lacam_official,True,20,random_walk,83,0,101.5,astar,3909,1971,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",289.0,56,15186.893138103187,0.028245787908820614,225.96127273433376,62.74089068825911,1932.829192636553,62.34412955465587,58.0,ours,lifelong,93,0,50,20,115.8056869986467,15057.73249310441,10,4112,0cad07ddcf213d6797895a6ee049939e938d65e9fb16217fbfd9906c4c745d5a,404,1,484.0,968,6,16,0,10.0,11,ok,2000,57.0,46197,congestion_avoidance,0.9986522911051213,0.3705,2000,742,4683,0,0,968,0,0.04683,452.3273,4279
4,lacam_official,True,20,10,1,congestion_avoidance,0,939,0,0,0,priority,939,10,0,,baseline_comparison,4,112,202,lacam_official,True,20,random_walk,52,0,101.0,astar,4728,1905,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",326.0,94,15149.26170092076,0.01488833746898263,147.7850010379916,65.09797657082002,1068.428789607784,65.03514376996804,60.0,ours,lifelong,158,0,60,20,132.23477330757305,13745.311313157436,10,4930,08295572de90110418371dbe27a298fadf2117a554e1c432bd57c4981a876edf,391,1,397.5,795,4,10,0,10.0,5,ok,2000,30.0,61068,congestion_avoidance,0.9947033898305084,0.4695,2000,944,6418,0,0,795,0,0.053483333333333334,296.1108,6027
4,lacam_official,True,20,10,1,congestion_avoidance,0,863,0,0,0,priority,863,9,0,,baseline_comparison,4,62,202,lacam_official,True,20,random_walk,82,0,101.0,astar,4232,1977,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",414.0,39,15147.840050980449,0.014377788795240456,186.3510002385592,63.66743916570104,1444.0218408598962,63.48899188876014,58.0,ours,lifelong,129,0,60,20,144.71141916001213,14894.973277917597,10,4434,282659cb0bf02befb74929fe07a412f59d748c1c902b53f4d541fb0f5090dd90,353,1,442.5,885,1,11,0,10.0,9,ok,2000,29.0,54791,congestion_avoidance,0.9965357967667436,0.4315,2000,866,6512,0,0,885,0,0.054266666666666664,373.1269,6159
4,lacam_official,True,20,10,1,congestion_avoidance,0,912,0,0,0,priority,912,13,0,,baseline_comparison,4,96,205,lacam_official,True,20,random_walk,94,0,102.5,astar,4778,1944,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",393.0,55,15146.751822903752,0.008357915437561455,150.14321530249435,65.62280701754386,1080.362091664361,65.2719298245614,60.5,ours,lifelong,148,0,60,20,137.3053117771633,12966.27026600763,10,4983,1cdb8f01c670fb313102ee9b75c8cd0b5614835414cc4910c4e42b389944ebeb,463,1,494.0,988,5,13,0,10.0,3,ok,2000,17.0,59528,congestion_avoidance,0.9934640522875817,0.456,2000,918,6509,0,0,988,0,0.05424166666666667,300.8294,6046
4,lacam_official,True,20,10,1,congestion_avoidance,0,910,0,0,0,priority,910,12,0,,baseline_comparison,4,0,207,lacam_official,True,20,random_walk,72,0,103.5,astar,4804,1963,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",479.0,0,15154.308862052858,0.0192497532082922,173.49740790727083,64.84065934065934,1278.2434670520038,64.57032967032967,58.0,ours,lifelong,151,0,60,20,138.91939688473937,14774.339022394264,10,5011,210fd004d22b1eeb8585e8701eb351fb1dc3021d3ce010f17eedb6fb0e9e0dd8,596,1,495.0,990,3,10,0,10.0,8,ok,2000,39.0,58759,congestion_avoidance,1.0,0.455,2000,910,6152,0,0,990,0,0.05126666666666667,347.5537,5556
4,lacam_official,True,20,10,1,congestion_avoidance,0,875,0,0,0,priority,875,12,0,,baseline_comparison,4,81,201,lacam_official,True,20,random_walk,63,0,100.5,astar,4906,1918,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",292.0,81,15156.061979010701,0.0228287841191067,217.2346950705396,67.768,1784.2913822639289,67.68,63.0,ours,lifelong,132,0,60,20,128.88424621196464,14738.54135395959,10,5107,1db7e62662b3af197fc7e156e5eec11e2a026f56a1cb28d58743dae5d1a2bb8a,404,1,382.5,765,0,15,0,10.0,10,ok,2000,46.0,59220,congestion_avoidance,0.9965831435079726,0.4375,2000,878,6924,0,0,765,0,0.0577,435.0119,6520
4,lacam_official,True,20,10,1,congestion_avoidance,0,741,0,0,0,priority,741,9,0,,baseline_comparison,4,77,202,lacam_official,True,20,random_walk,60,0,101.0,astar,3913,1990,data/maps/random-64-64-10.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",257.0,48,15169.917294988409,0.0248015873015873,230.59719478792977,62.37516869095816,1981.1421800566154,62.05802968960864,57.0,ours,lifelong,97,0,50,20,116.85590865090487,15137.967338063754,10,4115,e47a3980039af0d2499f64837eb95c2fb254cfc7c0731b1b4b9e881ba2710bc5,415,1,397.0,794,9,9,0,10.0,18,ok,2000,50.0,45985,congestion_avoidance,0.9946308724832215,0.3705,2000,745,4994,0,0,794,0,0.04994,461.5486,4579
